id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0002130,L'Inferno,1911,71,"Adventure,Drama,Fantasy",7.1,2549,Classic,Short,Normal,Adventure,Drama,Fantasy
tt0002844,Fantômas - À l'ombre de la guillotine,1913,54,"Crime,Drama",7.0,2095,Classic,Short,Normal,Crime,Drama,Unknown
tt0003014,Ingeborg Holm,1913,96,Drama,7.0,1091,Classic,Normal,Unknown,Drama,Unknown,Unknown
tt0003037,Juve contre Fantômas,1913,61,"Crime,Drama",7.0,1443,Classic,Short,Unknown,Crime,Drama,Unknown
tt0003165,Le mort qui tue,1913,90,"Crime,Drama,Mystery",7.0,1126,Classic,Short,Unknown,Crime,Drama,Mystery
tt0003419,Der Student von Prag,1913,85,"Drama,Fantasy,Horror",6.5,1933,Classic,Short,Unknown,Drama,Fantasy,Horror
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",6.4,1207,Classic,Short,Unknown,Crime,Drama,Horror
tt0003740,Cabiria,1914,148,"Adventure,Drama,History",7.1,3333,Classic,Long,Normal,Adventure,Drama,History
tt0003930,Fantômas contre Fantômas,1914,59,"Crime,Drama",6.9,1235,Classic,Short,Unknown,Crime,Drama,Unknown
tt0003952,Le faux magistrat,1914,70,"Crime,Drama",6.9,1005,Classic,Short,Unknown,Crime,Drama,Unknown
tt0004026,Der Golem,1915,60,Horror,6.8,1091,Classic,Short,Unknown,Horror,Unknown,Unknown
tt0004181,Judith of Bethulia,1914,61,Drama,6.1,1299,Classic,Short,Unknown,Drama,Unknown,Unknown
tt0004707,Tillie's Punctured Romance,1914,82,Comedy,6.3,3376,Classic,Short,Normal,Comedy,Unknown,Unknown
tt0004972,The Birth of a Nation,1915,195,"Drama,History,War",6.3,23481,Classic,Long,Known,Drama,History,War
tt0005078,The Cheat,1915,59,"Drama,Romance",6.6,2446,Classic,Short,Normal,Drama,Romance,Unknown
tt0005960,The Regeneration,1915,72,"Biography,Crime,Drama",6.9,1199,Classic,Short,Unknown,Biography,Crime,Drama
tt0006206,Les vampires,1915,421,"Action,Adventure,Crime",7.3,4446,Classic,Long,Normal,Action,Adventure,Crime
tt0006333,"20,000 Leagues Under the Sea",1916,105,"Action,Adventure,Sci-Fi",6.2,1615,Classic,Normal,Unknown,Action,Adventure,Sci-Fi
tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,163,"Drama,History",7.7,14693,Classic,Long,Known,Drama,History,Unknown
tt0008443,The Poor Little Rich Girl,1917,65,"Comedy,Drama,Family",6.7,1354,Classic,Short,Unknown,Comedy,Drama,Family
tt0008663,Terje Vigen,1917,65,"Drama,War",7.4,1748,Classic,Short,Unknown,Drama,War,Unknown
tt0008879,Berg-Ejvind och hans hustru,1918,136,Drama,7.2,1670,Classic,Long,Unknown,Drama,Unknown,Unknown
tt0009369,Mickey,1918,93,"Comedy,Drama",5.9,1086,Classic,Normal,Unknown,Comedy,Drama,Unknown
tt0009652,Stella Maris,1918,84,Drama,6.7,1397,Classic,Short,Unknown,Drama,Unknown,Unknown
tt0009878,Anders als die Andern,1919,50,"Crime,Drama,History",7.0,1199,Classic,Short,Unknown,Crime,Drama,History
tt0009892,Ravished Armenia,1919,80,"Drama,History,Romance",5.8,1113,Classic,Short,Unknown,Drama,History,Romance
tt0009893,Die Austernprinzessin,1919,60,Comedy,7.2,1755,Classic,Short,Unknown,Comedy,Unknown,Unknown
tt0009937,Blind Husbands,1919,99,"Drama,Romance",7.0,1405,Classic,Normal,Unknown,Drama,Romance,Unknown
tt0009968,Broken Blossoms or The Yellow Man and the Girl,1919,90,"Drama,Romance",7.3,9779,Classic,Short,Normal,Drama,Romance,Unknown
tt0010040,Daddy-Long-Legs,1919,85,"Comedy,Drama",6.5,1351,Classic,Short,Unknown,Comedy,Drama,Unknown
tt0010071,Don't Change Your Husband,1919,71,Comedy,6.6,1166,Classic,Short,Unknown,Comedy,Unknown,Unknown
tt0010247,Herr Arnes pengar,1919,122,"Drama,History",7.2,1292,Classic,Long,Unknown,Drama,History,Unknown
tt0010281,Ich möchte kein Mann sein,1918,45,"Comedy,Romance",6.8,1354,Classic,Short,Unknown,Comedy,Romance,Unknown
tt0010307,J'accuse,1919,166,"Drama,Horror,War",7.7,1533,Classic,Long,Unknown,Drama,Horror,War
tt0010323,Das Cabinet des Dr. Caligari,1920,76,"Fantasy,Horror,Mystery",8.1,59335,Classic,Short,Known,Fantasy,Horror,Mystery
tt0010418,Male and Female,1919,116,"Adventure,Drama",7.0,1787,Classic,Normal,Unknown,Adventure,Drama,Unknown
tt0010600,Die Puppe,1919,66,"Comedy,Fantasy",7.4,1820,Classic,Short,Unknown,Comedy,Fantasy,Unknown
tt0010726,"Die Spinnen, 1. Teil - Der Goldene See",1919,81,"Adventure,Western",6.6,1122,Classic,Short,Unknown,Adventure,Western,Unknown
tt0010806,True Heart Susie,1919,87,"Comedy,Drama,Romance",7.0,1695,Classic,Short,Unknown,Comedy,Drama,Romance
tt0011000,Blade af Satans bog,1920,167,Drama,6.6,1161,Classic,Long,Unknown,Drama,Unknown,Unknown
tt0011130,Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi",7.0,5077,Classic,Short,Normal,Drama,Horror,Sci-Fi
tt0011237,"Der Golem, wie er in die Welt kam",1920,76,"Fantasy,Horror",7.2,7098,Classic,Short,Normal,Fantasy,Horror,Unknown
tt0011387,The Last of the Mohicans,1920,73,"Action,Adventure,Drama",6.7,1197,Classic,Short,Unknown,Action,Adventure,Drama
tt0011439,The Mark of Zorro,1920,79,"Adventure,Romance,Western",7.1,2337,Classic,Short,Normal,Adventure,Romance,Western
tt0011565,The Penalty,1920,90,"Crime,Drama,Horror",7.4,2168,Classic,Short,Normal,Crime,Drama,Horror
tt0011607,Prästänkan,1920,94,"Comedy,Drama,Horror",7.2,1152,Classic,Normal,Unknown,Comedy,Drama,Horror
tt0011652,The Saphead,1920,77,Comedy,6.1,1499,Classic,Short,Unknown,Comedy,Unknown,Unknown
tt0011841,Way Down East,1920,145,"Drama,Romance",7.4,5198,Classic,Long,Normal,Drama,Romance,Unknown
tt0011865,Why Change Your Wife?,1920,90,"Comedy,Drama",6.7,1379,Classic,Short,Unknown,Comedy,Drama,Unknown
tt0011870,Within Our Gates,1920,79,"Drama,Romance",6.4,2803,Classic,Short,Normal,Drama,Romance,Unknown
tt0011904,The Ace of Hearts,1921,75,"Crime,Drama,Mystery",6.8,1141,Classic,Short,Unknown,Crime,Drama,Mystery
tt0011909,The Affairs of Anatol,1921,117,"Comedy,Drama",6.6,1245,Classic,Normal,Unknown,Comedy,Drama,Unknown
tt0011960,Die Bergkatze,1921,79,"Comedy,Drama,Romance",6.9,1109,Classic,Short,Unknown,Comedy,Drama,Romance
tt0012190,The Four Horsemen of the Apocalypse,1921,150,"Drama,Romance,War",7.2,3175,Classic,Long,Normal,Drama,Romance,War
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.3,117958,Classic,Short,Known,Comedy,Drama,Family
tt0012364,Körkarlen,1921,107,"Drama,Fantasy,Horror",8.1,11247,Classic,Normal,Known,Drama,Fantasy,Horror
tt0012494,Der müde Tod,1921,97,"Drama,Fantasy,Horror",7.6,5541,Classic,Normal,Normal,Drama,Fantasy,Horror
tt0012532,Orphans of the Storm,1921,150,"Drama,History,Romance",7.3,4920,Classic,Long,Normal,Drama,History,Romance
tt0012642,A Sailor-Made Man,1921,47,Comedy,6.9,1013,Classic,Short,Unknown,Comedy,Unknown,Unknown
tt0012651,Schloß Vogelöd,1921,75,"Crime,Drama,Horror",6.2,1699,Classic,Short,Unknown,Crime,Drama,Horror
tt0012675,The Sheik,1921,86,"Adventure,Drama,Romance",6.3,3214,Classic,Short,Normal,Adventure,Drama,Romance
tt0012763,Tol'able David,1921,99,Drama,6.9,1795,Classic,Normal,Unknown,Drama,Unknown,Unknown
tt0012938,Beyond the Rocks,1922,80,"Drama,Romance",6.7,2265,Classic,Short,Normal,Drama,Romance,Unknown
tt0012952,Blood and Sand,1922,108,"Drama,Romance,Sport",6.4,1294,Classic,Normal,Unknown,Drama,Romance,Sport
tt0013075,Dr. Jack,1922,60,"Comedy,Romance",7.1,1334,Classic,Short,Unknown,Comedy,Romance,Unknown
tt0013086,"Dr. Mabuse, der Spieler",1922,242,"Crime,Mystery,Thriller",7.9,7809,Classic,Long,Normal,Crime,Mystery,Thriller
tt0013140,Foolish Wives,1922,117,"Drama,Thriller",7.0,3288,Classic,Normal,Normal,Drama,Thriller,Unknown
tt0013201,Grandma's Boy,1922,60,"Comedy,Family",7.0,1715,Classic,Short,Unknown,Comedy,Family,Unknown
tt0013257,Häxan,1922,91,"Documentary,Fantasy,History",7.7,12999,Classic,Normal,Known,Documentary,Fantasy,History
tt0013427,Nanook of the North,1922,78,Documentary,7.6,11377,Classic,Short,Known,Documentary,Unknown,Unknown
tt0013442,"Nosferatu, eine Symphonie des Grauens",1922,94,"Fantasy,Horror",7.9,91102,Classic,Normal,Known,Fantasy,Horror,Unknown
tt0013496,Phantom,1922,125,"Drama,Romance",6.9,1651,Classic,Long,Unknown,Drama,Romance,Unknown
tt0013556,Robin Hood,1922,143,"Adventure,Family,Romance",7.1,2105,Classic,Long,Normal,Adventure,Family,Romance
tt0013933,Coeur fidèle,1923,87,"Drama,Romance",7.5,1155,Classic,Short,Unknown,Drama,Romance,Unknown
tt0014029,The Extra Girl,1923,68,"Comedy,Romance",6.6,1088,Classic,Short,Unknown,Comedy,Romance,Unknown
tt0014109,Gösta Berlings saga,1924,183,"Drama,Romance",7.1,1154,Classic,Long,Unknown,Drama,Romance,Unknown
tt0014142,The Hunchback of Notre Dame,1923,133,"Drama,Horror,Romance",7.2,5040,Classic,Long,Normal,Drama,Horror,Romance
tt0014341,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.8,10589,Classic,Short,Known,Comedy,Romance,Thriller
tt0014358,The Pilgrim,1923,47,Comedy,7.3,4724,Classic,Short,Normal,Comedy,Unknown,Unknown
tt0014417,La roue,1923,417,Drama,7.5,2050,Classic,Long,Normal,Drama,Unknown,Unknown
